port_code,port_name,state
2301,Brownsville,Texas
2302,Del Rio,Texas
2303,Eagle Pass,Texas
2304,Laredo,Texas
2305,Hidalgo,Texas
2307,Rio Grande City,Texas
2309,Progreso,Texas
2310,Roma,Texas
2401,Ysleta,Texas
2402,El Paso,Texas
2403,Presidio,Texas
2404,Tornillo,Texas
2406,Columbus,New Mexico
2408,Santa Teresa,New Mexico
2410,Boquillas,Texas
2502,Andrade,California
2503,Calexico,California
2504,San Ysidro,California
2505,Tecate,California
2506,Otay Mesa,California
2507,Calexico East,California
2582,Cross Border Xpress,California
2601,Douglas,Arizona
2602,Lukeville,Arizona
2603,Naco,Arizona
2604,Nogales,Arizona
2606,Sasabe,Arizona
2608,San Luis,Arizona
